product_id,product_name,category,brand,description,tags,price,rating,review_count,combined_text
P0020,Asian Men's Casual Sneaker Variant 20,Shoes,Adidas,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,5633,4.1,2500,Asian Men's Casual Sneaker Variant 20 Shoes Adidas Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0021,Asian Men's Casual Sneaker Variant 21,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6044,4.1,2500,Asian Men's Casual Sneaker Variant 21 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0022,Asian Men's Casual Sneaker Variant 22,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2789,4.1,2500,Asian Men's Casual Sneaker Variant 22 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0023,Asian Men's Casual Sneaker Variant 23,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3108,4.1,2500,Asian Men's Casual Sneaker Variant 23 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0024,Asian Men's Casual Sneaker Variant 24,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3078,4.1,2500,Asian Men's Casual Sneaker Variant 24 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0025,Asian Men's Casual Sneaker Variant 25,Shoes,Reebok,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,4048,4.1,2500,Asian Men's Casual Sneaker Variant 25 Shoes Reebok Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0026,Asian Men's Casual Sneaker Variant 26,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,7838,4.1,2500,Asian Men's Casual Sneaker Variant 26 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0027,Asian Men's Casual Sneaker Variant 27,Shoes,Reebok,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6127,4.1,2500,Asian Men's Casual Sneaker Variant 27 Shoes Reebok Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0028,Asian Men's Casual Sneaker Variant 28,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,1569,4.1,2500,Asian Men's Casual Sneaker Variant 28 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0029,Asian Men's Casual Sneaker Variant 29,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,7630,4.1,2500,Asian Men's Casual Sneaker Variant 29 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0030,Asian Men's Casual Sneaker Variant 30,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3605,4.1,2500,Asian Men's Casual Sneaker Variant 30 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0031,Asian Men's Casual Sneaker Variant 31,Shoes,New Balance,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2232,4.1,2500,Asian Men's Casual Sneaker Variant 31 Shoes New Balance Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0032,Asian Men's Casual Sneaker Variant 32,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,4032,4.1,2500,Asian Men's Casual Sneaker Variant 32 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0033,Asian Men's Casual Sneaker Variant 33,Shoes,Reebok,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3521,4.1,2500,Asian Men's Casual Sneaker Variant 33 Shoes Reebok Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0034,Asian Men's Casual Sneaker Variant 34,Shoes,Puma,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,6418,4.1,2500,Asian Men's Casual Sneaker Variant 34 Shoes Puma Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0035,Asian Men's Casual Sneaker Variant 35,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,3685,4.1,2500,Asian Men's Casual Sneaker Variant 35 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0036,Asian Men's Casual Sneaker Variant 36,Shoes,Nike,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,5669,4.1,2500,Asian Men's Casual Sneaker Variant 36 Shoes Nike Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0037,Asian Men's Casual Sneaker Variant 37,Shoes,New Balance,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,1662,4.1,2500,Asian Men's Casual Sneaker Variant 37 Shoes New Balance Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0038,Asian Men's Casual Sneaker Variant 38,Shoes,Asics,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2107,4.1,2500,Asian Men's Casual Sneaker Variant 38 Shoes Asics Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0039,Asian Men's Casual Sneaker Variant 39,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2776,4.1,2500,Asian Men's Casual Sneaker Variant 39 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0040,Asian Men's Casual Sneaker Variant 40,Shoes,Skechers,Lightweight synthetic upper casual sneakers for daily walking,men shoes sneakers casual walking,2433,4.1,2500,Asian Men's Casual Sneaker Variant 40 Shoes Skechers Lightweight synthetic upper casual sneakers for daily walking men shoes sneakers casual walking
P0041,Men's Casual T-Shirt Variant 1,Clothing-Men,Levis,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,14589,4.2,12000,Men's Casual T-Shirt Variant 1 Clothing-Men Levis Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0042,Men's Casual T-Shirt Variant 2,Clothing-Men,H&M,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,62373,4.2,12000,Men's Casual T-Shirt Variant 2 Clothing-Men H&M Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0043,Men's Casual T-Shirt Variant 3,Clothing-Men,Levis,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,55237,4.2,12000,Men's Casual T-Shirt Variant 3 Clothing-Men Levis Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0044,Men's Casual T-Shirt Variant 4,Clothing-Men,Levis,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,74572,4.2,12000,Men's Casual T-Shirt Variant 4 Clothing-Men Levis Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0045,Men's Casual T-Shirt Variant 5,Clothing-Men,Allen Solly,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,93404,4.2,12000,Men's Casual T-Shirt Variant 5 Clothing-Men Allen Solly Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0046,Men's Casual T-Shirt Variant 6,Clothing-Men,Zara,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,47491,4.2,12000,Men's Casual T-Shirt Variant 6 Clothing-Men Zara Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0047,Men's Casual T-Shirt Variant 7,Clothing-Men,Zara,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,89559,4.2,12000,Men's Casual T-Shirt Variant 7 Clothing-Men Zara Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0048,Men's Casual T-Shirt Variant 8,Clothing-Men,H&M,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,97348,4.2,12000,Men's Casual T-Shirt Variant 8 Clothing-Men H&M Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0049,Men's Casual T-Shirt Variant 9,Clothing-Men,Allen Solly,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,32987,4.2,12000,Men's Casual T-Shirt Variant 9 Clothing-Men Allen Solly Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0050,Men's Casual T-Shirt Variant 10,Clothing-Men,H&M,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,5545,4.2,12000,Men's Casual T-Shirt Variant 10 Clothing-Men H&M Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0051,Men's Casual T-Shirt Variant 11,Clothing-Men,H&M,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,80351,4.2,12000,Men's Casual T-Shirt Variant 11 Clothing-Men H&M Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0052,Men's Casual T-Shirt Variant 12,Clothing-Men,Levis,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,14120,4.2,12000,Men's Casual T-Shirt Variant 12 Clothing-Men Levis Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0053,Men's Casual T-Shirt Variant 13,Clothing-Men,H&M,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,22278,4.2,12000,Men's Casual T-Shirt Variant 13 Clothing-Men H&M Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0054,Men's Casual T-Shirt Variant 14,Clothing-Men,Zara,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,6364,4.2,12000,Men's Casual T-Shirt Variant 14 Clothing-Men Zara Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0055,Men's Casual T-Shirt Variant 15,Clothing-Men,Zara,Cotton blend casual t-shirt for daily wear,mens tshirt casual cotton,25000,4.2,12000,Men's Casual T-Shirt Variant 15 Clothing-Men Zara Cotton blend casual t-shirt for daily wear mens tshirt casual cotton
P0056,Girls Ethnic Dress Variant 1,Clothing-Women,W,Ethnic and western party wear dress,girls dress ethnic party wear,52451,4.3,800,Girls Ethnic Dress Variant 1 Clothing-Women W Ethnic and western party wear dress girls dress ethnic party wear
P0057,Girls Ethnic Dress Variant 2,Clothing-Women,AND,Ethnic and western party wear dress,girls dress ethnic party wear,20216,4.3,800,Girls Ethnic Dress Variant 2 Clothing-Women AND Ethnic and western party wear dress girls dress ethnic party wear
P0058,Girls Ethnic Dress Variant 3,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,69912,4.3,800,Girls Ethnic Dress Variant 3 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0059,Girls Ethnic Dress Variant 4,Clothing-Women,Global Desi,Ethnic and western party wear dress,girls dress ethnic party wear,4475,4.3,800,Girls Ethnic Dress Variant 4 Clothing-Women Global Desi Ethnic and western party wear dress girls dress ethnic party wear
P0060,Girls Ethnic Dress Variant 5,Clothing-Women,AND,Ethnic and western party wear dress,girls dress ethnic party wear,22886,4.3,800,Girls Ethnic Dress Variant 5 Clothing-Women AND Ethnic and western party wear dress girls dress ethnic party wear
P0061,Girls Ethnic Dress Variant 6,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,54050,4.3,800,Girls Ethnic Dress Variant 6 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0062,Girls Ethnic Dress Variant 7,Clothing-Women,AND,Ethnic and western party wear dress,girls dress ethnic party wear,66428,4.3,800,Girls Ethnic Dress Variant 7 Clothing-Women AND Ethnic and western party wear dress girls dress ethnic party wear
P0063,Girls Ethnic Dress Variant 8,Clothing-Women,Forever 21,Ethnic and western party wear dress,girls dress ethnic party wear,42753,4.3,800,Girls Ethnic Dress Variant 8 Clothing-Women Forever 21 Ethnic and western party wear dress girls dress ethnic party wear
P0064,Girls Ethnic Dress Variant 9,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,57178,4.3,800,Girls Ethnic Dress Variant 9 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0065,Girls Ethnic Dress Variant 10,Clothing-Women,Forever 21,Ethnic and western party wear dress,girls dress ethnic party wear,17594,4.3,800,Girls Ethnic Dress Variant 10 Clothing-Women Forever 21 Ethnic and western party wear dress girls dress ethnic party wear
P0066,Girls Ethnic Dress Variant 11,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,57041,4.3,800,Girls Ethnic Dress Variant 11 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0067,Girls Ethnic Dress Variant 12,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,18408,4.3,800,Girls Ethnic Dress Variant 12 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0068,Girls Ethnic Dress Variant 13,Clothing-Women,Forever 21,Ethnic and western party wear dress,girls dress ethnic party wear,92774,4.3,800,Girls Ethnic Dress Variant 13 Clothing-Women Forever 21 Ethnic and western party wear dress girls dress ethnic party wear
P0069,Girls Ethnic Dress Variant 14,Clothing-Women,Forever 21,Ethnic and western party wear dress,girls dress ethnic party wear,40176,4.3,800,Girls Ethnic Dress Variant 14 Clothing-Women Forever 21 Ethnic and western party wear dress girls dress ethnic party wear
P0070,Girls Ethnic Dress Variant 15,Clothing-Women,Biba,Ethnic and western party wear dress,girls dress ethnic party wear,17838,4.3,800,Girls Ethnic Dress Variant 15 Clothing-Women Biba Ethnic and western party wear dress girls dress ethnic party wear
P0071,Girls Ethnic Dress Variant 16,Clothing-Women,Forever 21,Ethnic and western party wear dress,girls dress ethnic party wear,98510,4.3,800,Girls Ethnic Dress Variant 16 Clothing-Women Forever 21 Ethnic and western party wear dress girls dress ethnic party wear
P0072,5G Smartphone Model 1,Smartphones,Xiaomi,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,17852,4.2,3500,5G Smartphone Model 1 Smartphones Xiaomi 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0073,5G Smartphone Model 2,Smartphones,Apple,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,31187,4.2,3500,5G Smartphone Model 2 Smartphones Apple 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0074,5G Smartphone Model 3,Smartphones,Nothing,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,34426,4.2,3500,5G Smartphone Model 3 Smartphones Nothing 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0075,5G Smartphone Model 4,Smartphones,Vivo,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,15379,4.2,3500,5G Smartphone Model 4 Smartphones Vivo 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0076,5G Smartphone Model 5,Smartphones,Realme,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,41901,4.2,3500,5G Smartphone Model 5 Smartphones Realme 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0077,5G Smartphone Model 6,Smartphones,OnePlus,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,22366,4.2,3500,5G Smartphone Model 6 Smartphones OnePlus 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0078,5G Smartphone Model 7,Smartphones,Apple,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,24933,4.2,3500,5G Smartphone Model 7 Smartphones Apple 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0079,5G Smartphone Model 8,Smartphones,Apple,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,70542,4.2,3500,5G Smartphone Model 8 Smartphones Apple 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0080,5G Smartphone Model 9,Smartphones,Motorola,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,41986,4.2,3500,5G Smartphone Model 9 Smartphones Motorola 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0081,5G Smartphone Model 10,Smartphones,Nothing,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,28169,4.2,3500,5G Smartphone Model 10 Smartphones Nothing 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0082,5G Smartphone Model 11,Smartphones,Nothing,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,50347,4.2,3500,5G Smartphone Model 11 Smartphones Nothing 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0083,5G Smartphone Model 12,Smartphones,Realme,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,79951,4.2,3500,5G Smartphone Model 12 Smartphones Realme 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0084,5G Smartphone Model 13,Smartphones,Motorola,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,96790,4.2,3500,5G Smartphone Model 13 Smartphones Motorola 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0085,5G Smartphone Model 14,Smartphones,OnePlus,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,34221,4.2,3500,5G Smartphone Model 14 Smartphones OnePlus 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0086,5G Smartphone Model 15,Smartphones,Xiaomi,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,79534,4.2,3500,5G Smartphone Model 15 Smartphones Xiaomi 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0087,5G Smartphone Model 16,Smartphones,Oppo,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,80871,4.2,3500,5G Smartphone Model 16 Smartphones Oppo 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0088,5G Smartphone Model 17,Smartphones,Realme,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,60827,4.2,3500,5G Smartphone Model 17 Smartphones Realme 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0089,5G Smartphone Model 18,Smartphones,Xiaomi,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,58441,4.2,3500,5G Smartphone Model 18 Smartphones Xiaomi 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0090,5G Smartphone Model 19,Smartphones,Motorola,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,64012,4.2,3500,5G Smartphone Model 19 Smartphones Motorola 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0091,5G Smartphone Model 20,Smartphones,Motorola,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,92206,4.2,3500,5G Smartphone Model 20 Smartphones Motorola 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0092,5G Smartphone Model 21,Smartphones,Nothing,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,25633,4.2,3500,5G Smartphone Model 21 Smartphones Nothing 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0093,5G Smartphone Model 22,Smartphones,Samsung,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,10487,4.2,3500,5G Smartphone Model 22 Smartphones Samsung 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0094,5G Smartphone Model 23,Smartphones,Samsung,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,76711,4.2,3500,5G Smartphone Model 23 Smartphones Samsung 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0095,5G Smartphone Model 24,Smartphones,Samsung,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,22419,4.2,3500,5G Smartphone Model 24 Smartphones Samsung 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0096,5G Smartphone Model 25,Smartphones,Motorola,5G smartphone with high performance processor and long battery,smartphone 5g android mobile,64538,4.2,3500,5G Smartphone Model 25 Smartphones Motorola 5G smartphone with high performance processor and long battery smartphone 5g android mobile
P0097,Laptop Model 1,Laptops,Apple,High performance laptop for work and gaming,laptop work gaming,68228,4.4,900,Laptop Model 1 Laptops Apple High performance laptop for work and gaming laptop work gaming
P0098,Laptop Model 2,Laptops,Nike,High performance laptop for work and gaming,laptop work gaming,17521,4.4,900,Laptop Model 2 Laptops Nike High performance laptop for work and gaming laptop work gaming
P0099,Laptop Model 3,Laptops,Oppo,High performance laptop for work and gaming,laptop work gaming,18996,4.4,900,Laptop Model 3 Laptops Oppo High performance laptop for work and gaming laptop work gaming
P0100,Laptop Model 4,Laptops,Boat,High performance laptop for work and gaming,laptop work gaming,70038,4.4,900,Laptop Model 4 Laptops Boat High performance laptop for work and gaming laptop work gaming
P0101,Laptop Model 5,Laptops,Skullcandy,High performance laptop for work and gaming,laptop work gaming,85513,4.4,900,Laptop Model 5 Laptops Skullcandy High performance laptop for work and gaming laptop work gaming
P0102,Laptop Model 6,Laptops,Global Desi,High performance laptop for work and gaming,laptop work gaming,57130,4.4,900,Laptop Model 6 Laptops Global Desi High performance laptop for work and gaming laptop work gaming
P0103,Laptop Model 7,Laptops,AND,High performance laptop for work and gaming,laptop work gaming,10531,4.4,900,Laptop Model 7 Laptops AND High performance laptop for work and gaming laptop work gaming
P0104,Laptop Model 8,Laptops,Asics,High performance laptop for work and gaming,laptop work gaming,98463,4.4,900,Laptop Model 8 Laptops Asics High performance laptop for work and gaming laptop work gaming
P0105,Laptop Model 9,Laptops,H&M,High performance laptop for work and gaming,laptop work gaming,87807,4.4,900,Laptop Model 9 Laptops H&M High performance laptop for work and gaming laptop work gaming
P0106,Laptop Model 10,Laptops,U.S. Polo,High performance laptop for work and gaming,laptop work gaming,93501,4.4,900,Laptop Model 10 Laptops U.S. Polo High performance laptop for work and gaming laptop work gaming
P0107,Laptop Model 11,Laptops,AND,High performance laptop for work and gaming,laptop work gaming,77931,4.4,900,Laptop Model 11 Laptops AND High performance laptop for work and gaming laptop work gaming
P0108,Laptop Model 12,Laptops,Sony,High performance laptop for work and gaming,laptop work gaming,94699,4.4,900,Laptop Model 12 Laptops Sony High performance laptop for work and gaming laptop work gaming
P0109,Tablet Model 1,Tablets,AND,Large display tablet for entertainment and productivity,tablet android entertainment,81861,4.3,1100,Tablet Model 1 Tablets AND Large display tablet for entertainment and productivity tablet android entertainment
P0110,Tablet Model 2,Tablets,Puma,Large display tablet for entertainment and productivity,tablet android entertainment,39788,4.3,1100,Tablet Model 2 Tablets Puma Large display tablet for entertainment and productivity tablet android entertainment
P0111,Tablet Model 3,Tablets,W,Large display tablet for entertainment and productivity,tablet android entertainment,66058,4.3,1100,Tablet Model 3 Tablets W Large display tablet for entertainment and productivity tablet android entertainment
